Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url	Cluster
	Daddy Trump is jealous of the comradery of the pres. &amp; their efforts to debunk all of the mistrust that Daddy Trump created over the deadly disease. Daddy Trump gets Baby Trump to put herself in the mix as equals to the pres. The Trump family has done nothing to move our cntry...	BearBen39666273	Sun Dec 06 12:51:42 +0000 2020	[]	0	0	https://twitter.com/BearBen39666273/status/1335567595093827584	0
	#POTUS, DEPLORABLE supporters, DID MEXICO🇲🇽 PAY FOR THE WALL? NO! DID NORTH KOREA🇰🇵 DENUCLEARIZE? NO! DID COVID-19 TURN THE CORNER? NO! DID trump SHOW HIS TAXES? NO! DID trump SOLVE HEALTHCARE ISSUES? NO! DID trump STOP CHINA🇨🇳  OR RUSSIA🇷🇺? NO! DID trump GET RID OF DEMOCRATS? NO https://t.co/MEWigHCtGa	MIAgiveKISSES	Sun Dec 06 12:07:18 +0000 2020	['POTUS']	0	0	https://twitter.com/MIAgiveKISSES/status/1335556418972381187	2
	"@PGourevitch @atrupar Trump digs ever deeper hole for his legacy.
Trump rants about conspiracy to ""steal"" 2020 election.
Trump undermined rational response to pandemic; over 280,000 died so far.
Trump undermines fair election and his successor, undermining US democracy.
Trump is ultimate ""sore loser""."	ruh_william	Sun Dec 06 12:00:11 +0000 2020	[]	0	0	https://twitter.com/ruh_william/status/1335554630298849281	2
	"@jessieopie @atrupar Trump digs ever deeper hole for his legacy.
Trump rants about conspiracy to ""steal"" 2020 election.
Trump undermined rational response to pandemic; over 280,000 died so far.
Trump undermines fair election and his successor, undermining US democracy.
Trump is ultimate ""sore loser""."	ruh_william	Sun Dec 06 11:59:54 +0000 2020	[]	0	0	https://twitter.com/ruh_william/status/1335554555984158721	2
	"@KeithOlbermann @freehawk Trump digs ever deeper hole for his legacy.
Trump rants about conspiracy to ""steal"" 2020 election.
Trump undermined rational response to pandemic; over 280,000 died so far.
Trump undermines fair election and his successor, undermining US democracy.
Trump is ultimate ""sore loser""."	ruh_william	Sun Dec 06 11:59:23 +0000 2020	[]	0	0	https://twitter.com/ruh_william/status/1335554425637756928	2
	@senatemajldr  former president Trump to blame for USA number one in the world for most cases of COVID-19 around the world.Trump still promoting no mask and no social distancing during Trump’s rallies. Donations going to his pockets . “Make Trump Rich Again“ successful campaign	frankhaque1	Sun Dec 06 12:15:19 +0000 2020	[]	0	0	https://twitter.com/frankhaque1/status/1335558437258850304	2
	@SpeakerPelosi  former president Trump to blame for USA number one in the world for most cases of COVID-19 around the world.Trump still promoting no mask and no social distancing during Trump’s rallies. Donations going to his pockets . “Make Trump Rich Again“ successful campaign	frankhaque1	Sun Dec 06 12:14:59 +0000 2020	[]	0	0	https://twitter.com/frankhaque1/status/1335558352357744640	2
	
holidays with covid
	Has the coronavirus made holidays change to the color 🔵I'm not in a holiday mood this 2020 year 😷	SpnishStar1	Sun Dec 06 12:38:14 +0000 2020	[]	0	0	https://twitter.com/SpnishStar1/status/1335564205542543360	0
